EmployeeID,Name,Gender,Age,Department,JobRole,EducationLevel,JoiningDate,CountryCode,Country,PhoneNumber,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,LastLeaveDate,LeaveDayName,ProjectsHandled,TrainingHours,CustomerSatisfaction,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk
1,Steven Barnett,Other,57,Finance,Auditor,2,2016-05-05,+91,India,6222371166,93531,33,9,2024-07-03,Wednesday,13,16,,2020,9,1.9,4,No
2,Christopher Benson,Female,26,Sales,Sales Executive,2,2014-08-20,+1,Canada,0466649099,53706,24,1,2024-01-05,Friday,15,44,8.0,2014,11,5.03,1,Yes
3,Norman Lane,Other,59,Support,Helpdesk,1,2010-05-17,+1,Canada,8302098565,105756,20,7,2024-11-27,Wednesday,7,62,7.0,2012,15,4.83,4,No
4,Rita Walker,Female,43,HR,HR Executive,3,2015-06-20,+49,Germany,5555799735,176377,22,6,2024-07-15,Monday,15,8,,2016,10,4.6,4,No
5,Judith Ware,Male,52,Sales,Account Manager,3,2019-08-20,+49,Germany,4796634990,154782,18,16,2024-12-17,Tuesday,10,57,8.0,2022,6,3.73,4,No
6,Peggy Mann,Other,33,Support,Helpdesk,2,2018-08-28,+1,Canada,7700893415,58647,34,5,2024-10-01,Tuesday,6,5,6.0,2020,7,2.37,3,No
7,Brenda Bauer,Male,55,IT,Engineer,2,2018-09-13,+33,France,7686093398,70273,1,20,2024-06-01,Saturday,8,66,,2024,7,6.47,1,No
8,Troy Ford,Female,51,HR,HR Executive,5,2016-04-18,+49,Germany,4913421702,178909,33,22,2024-10-26,Saturday,3,78,,2019,9,-0.27,3,No
9,Joel Fuller,Male,32,HR,HR Executive,2,2010-05-26,+1,USA,6735814159,51014,40,11,2024-07-20,Saturday,6,10,,2023,15,0.17,3,No
10,Cody Bright,Female,54,Finance,Accountant,3,2011-06-16,+1,Canada,4503448285,63726,21,19,2024-07-26,Friday,1,25,,2024,14,2.63,2,Yes
11,Sara Snyder,Other,52,HR,HR Executive,4,2015-07-01,+1,USA,1917941056,64215,2,13,2024-04-23,Tuesday,6,21,,2021,10,7.43,3,No
12,David Williams,Male,55,Support,Helpdesk,5,2011-07-08,+91,India,8514067043,76960,14,2,2024-05-10,Friday,11,56,6.0,2017,14,6.87,5,No
13,Shannon Clark,Male,47,Finance,Accountant,3,2020-06-26,+1,USA,3916634866,151391,8,20,2024-10-09,Wednesday,12,7,,2022,5,5.07,4,No
14,Jeffery Lopez,Female,50,HR,HR Manager,1,2012-12-28,+1,Canada,9076193823,170862,7,1,2024-08-10,Saturday,8,60,,2022,13,8.43,4,No
15,Anna Dominguez,Male,26,IT,Developer,3,2018-04-03,+1,Canada,6811045165,161974,6,3,2024-06-28,Friday,15,76,,2024,7,8.3,3,No
16,Peter Mckee,Female,43,Marketing,SEO Analyst,3,2020-05-07,+44,UK,1059843256,164012,1,19,2024-03-19,Tuesday,10,10,,2020,5,6.63,3,No
17,Connie Bailey,Other,41,Support,Support Engineer,3,2014-10-16,+1,USA,8754243104,70403,10,14,2024-08-01,Thursday,6,42,9.0,2019,11,5.67,3,No
18,Taylor Morris,Female,39,IT,Tester,4,2010-08-13,+1,USA,9897470350,173689,21,11,2024-04-14,Sunday,3,76,,2020,15,3.97,3,No
19,Nicole Roberts,Male,47,Support,Helpdesk,2,2010-03-09,+91,India,3323124401,122403,9,17,2024-04-28,Sunday,4,20,9.0,2015,15,5.37,1,No
